,id,score,keyPhrases
0,1,0.0027378499507904053,"['glass bottle foundation', 'splatters']"
1,2,0.2173374891281128,"['glass', 'skull fracture', 'person', 'school', 'victim', 'girl', 'siblings', 'Corona', 'SUV']"
2,3,0.060046494007110596,"['glass bottle', 'half', 'sickening act', 'floor', 'grandmother', 'genitals', 'day']"
3,4,0.7570093870162964,"['environment', 'conference room - small things', 'glass bottle', 'metal spoon', 'office', 'plastic consumption', 'PlasticFree']"
4,5,0.8284586668014526,"['new milk', 'Brent House Farm milk store', 'reusable glass bottle', 'machine', 'Edingworth Road', 'litre of pasteurised', 'genius', 'reuse']"
5,6,0.8017255663871765,"['Thousands of dollars Glass bottle', 'look', 'Student loans', 'face', 'end', 'pawsup', 'panthermafia', 'vivalapanthers']"
6,7,0.21923765540122986,"['fractures', 'skull', 'collarbone', 'Karla Herrera', 'glass', 'SUV', 'window']"
7,8,0.8862781524658203,['glass bottle of Coke']
8,9,0.5,"['Glass Bottle', 'SUV', 'Skull Fracture', 'Corona', 'Girl', 'ktla']"
9,10,0.8862781524658203,['glass bottle of Coke']
10,11,0.26938170194625854,"['hospital', 'glass bottle', 'hunt', 'motorist', 'cracked skull', 'collarbone', 'year-old', 'Police', 'Corona']"
11,12,0.1696825623512268,"['skull fracture', 'glass bottle', 'girl', 'Corona']"
12,13,0.21923765540122986,"['fractures', 'skull', 'collarbone', 'Karla Herrera', 'glass', 'SUV', 'window']"
13,14,0.7884422540664673,"['Heinz', 'glass bottle', 'fancy ketchup']"
14,15,0.5,"['Glass bottle prices', 'barley prices higher', 'MD', 'United Breweries', 'Q4 volume growth', 'Shekhar Ramamurthy', 'Nigel', 'alcoholic segment', 'DSouza', 'blitzkreigm']"
15,16,0.5,"['face', 'teen', 'glass bottle', 'incident', 'Isoa Rabuatoka', 'security guard', 'head']"
16,17,0.8684853911399841,"['shower', 'dumbass', 'glass bottle product', 'Rubber bar-mats']"
17,18,0.12169623374938965,"['glass bottle', 'pregnant girlfriend’s head', 'months', 'Violent thug', 'baby']"
18,19,0.7814869284629822,"['Unpopular opinion', 'Guy', 'opposing football teams', 'Man', 'shit', 'Hooligan Leader', 'ohoho', 'Gaz', 'glass bottle', 'Hooligans']"
19,20,0.9487982988357544,"['consumer product giants', 'reusable containers', 'mouthwash', 'Walgreens', 'sleek glass bottle', 'life', 'Kroger']"
20,21,0.5,"['Zosayas family', 'head', 'Southern California city of Corona', 'school', 'surgery', 'glass bottle', 'skull fracture', 'year-old girl', 'Photo']"
21,22,0.5,"['baby', 'Brooklyn street', 'group', 'police', 'girlfriend', 'man']"
22,23,0.27377137541770935,"['flying glass bottle', 'KNBC reports', 'weekend', 'intensive care', 'kindergarten', 'year-old girl']"
23,24,0.908866822719574,"['new Crest Platinum mouthwash', 'unique formula', 'Oral Care', 'stain prevention', 'fresh breath', ""G's involvement"", 'sustainability', 'refillable glass bottle', 'LOOP available', 'details']"
24,25,0.5,"['brother', 'drunk white dude', 'prison', 'glass bottle', 'year', 'half', ""lot of y'all""]"
25,26,0.21555498242378235,"['Glass Bottle', 'SUV', 'Skull Fracture', 'Girl', 'Southern\xa0California']"
26,27,0.7288511395454407,"['Glass Bottle', 'California Police Hunt Person', 'Car', 'Year-Old Girl']"
27,28,0.5,"['State body', 'Dublin Docklands Development Authority', 'developer Michael McNamara', 'Irish Glass Bottle site', 'consortium']"
28,29,0.5,"['glass bottle', 'Shelley Fountain', 'man', 'hospital treatment', 'head', 'Horsham', 'witnesses', 'assault', 'investigation', 'details']"
29,30,0.13092324137687683,"['crime', 'glass bottle', 'police', 'woman']"
30,31,0.8143129348754883,"[""glass bottle Barr's selection"", 'copilot']"
31,32,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
32,33,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
33,34,0.5,"['ANZAC Day', 'head', 'assault', 'Raymond Terrace', 'senior constable', 'Police', 'series of images', 'glass bottle']"
34,35,0.5,"['Gold Dust Bar Equipment Bottles Lid Vintage Decoration Handmade', 's Murano Glass Bottle Stopper', 'Italy single piece']"
35,36,0.5,"['glass bottle', 'Mid Century wine glasses', 's Bar', 'Vintage4Moms']"
36,37,0.5,"['Gold Dust Bar Equipment Bottles Lid Vintage Decoration Handmade', 's Murano Glass Bottle Stopper', 'Italy single piece']"
37,38,0.2882457971572876,"['year-old', 'glass', 'bottle', 'moving', 'car', 'girl', 'head', 'CA family']"
38,39,0.5,"['baby', 'Brooklyn street', 'group', 'police', 'girlfriend', 'man']"
39,40,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
40,41,0.5,"['Shelley Fountain', 'man', 'glass bottle', 'investigation', 'night', 'assault', 'Horsham', 'HeartNews', ""teenager's"", 'suspect']"
41,42,0.5,"['South Central Festival', 'suspect', 'man', 'steward', 'person', 'glass bottle', 'weekend', 'queue', 'victim', 'eye']"
42,43,0.3077043294906616,"['Damascus Gate - Israel National News', 'glass bottle']"
43,44,0.5,"['eye', 'glass bottle', 'festival steward', 'NEWS', 'ground', 'Portsmouth']"
44,45,0.5,"['Germany Closure', 'piece Vintage glass bottle', 'lid']"
45,46,0.5,"['s Bar equipment', 'wine', 'whiskey rockabilly generation', 'Vintage glass bottle']"
46,47,0.5,"['Vintage Glass Bottle Fish Bottle', 'Whiskey Green Bottle', 's Bar Equipment', 'Wine']"
47,48,0.5,"['glass bottle', 'Mid Century wine glasses', 's Bar', 'Vintage4Moms']"
48,49,0.5,"['glass bottle', 'Mid Century wine glasses', 's Bar', 'Vintage4Moms']"
49,50,0.5,"['whiskey green bottle', 'Vintage glass bottle of green', 's bar equipment', 'wine']"
50,51,0.5,"['s Bar Equipment', 'Vintage glass bottle', 'Vintage4Moms']"
51,52,0.5,"['s Bar Equipment', 'Vintage glass bottle', 'Vintage4Moms']"
52,53,0.5,"['Germany Closure', 'piece Vintage glass bottle', 'lid']"
53,54,0.08381155133247375,"['glass bottle n', 'lady steps', 'heel']"
54,55,0.5,"['Ben Hur Glass Bottle', 'eBay']"
55,56,0.5,"['glass bottle', 'JeffMichaelNews', 'AmberLeeNews', 'fajardonews', 'details', 'KCAL9 news', 'Corona girl', 'CBSLA', 'SaraDonchey', 'head']"
56,57,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
57,58,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
58,59,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
59,60,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
60,61,0.5,"['glass bottle', 'skull fracture', 'SUV', 'Girl']"
61,62,0.5,"['skull', 'glass bottle', 'SUV', 'collarbone', 'fox8news']"
